,daysOnMovoto,listDate,listingAgent,listPrice,lotSize,sqftTotal,mlsNumber,bath,bed,officeListName,propertyType,yearBuilt,zipCode,path,status,houseRealStatus,createdAt,onMarketDateTime,priceRaw,geo.state,geo.city,geo.zipcode,geo.address
1658,46,2021-02-03 00:00:00,Dorothy Figueroa Rahal,779000,91485,1200,421517197,2,3,Compass,CONDO,1987,94134,san-francisco-ca/803-red-leaf-ct-san-francisco-ca-94134/pid_xfvzoad48g/for-sale/,Pending,PENDING,2021-03-17 19:46:47,2021-02-03 00:00:00,779000,CA,San Francisco,94134,803 Red Leaf Ct
1660,46,2021-01-13 00:00:00,Laura Taylor,665000,21192,755,421528926,1,1,Generation Real Estate,CONDO,1996,94131,san-francisco-ca/298-portola-dr-203-san-francisco-ca-94131/pid_4kcyoad48g/for-sale/,Pending,PENDING,2021-03-17 17:51:35,2021-01-13 00:00:00,665000,CA,San Francisco,94131,298 Portola Dr #203
1661,46,2021-03-17 00:00:00,Marian Anthony,2295000,0,3350,421529183,4,5,Anthony Realty Group,CONDO,1907,94115,san-francisco-ca/2220-california-st-san-francisco-ca-94115/pid_s8pwoad48g/for-sale/,Pending,PENDING,2021-03-17 17:16:35,2021-03-17 00:00:00,2295000,CA,San Francisco,94115,2220 California St
1662,46,2021-03-08 00:00:00,George Limperis,1195000,1746,800,421528584,1,1,Compass SF,SINGLE_FAMILY_HOUSE,1900,94110,san-francisco-ca/119-banks-st-san-francisco-ca-94110/pid_n1hzoad48g/for-sale/,Pending,PENDING,2021-03-17 16:36:32,2021-03-08 00:00:00,1195000,CA,San Francisco,94110,119 Banks St
1664,46,2021-02-22 00:00:00,Chris Panou,1600000,3438,1705,421521791,1,2,Sotheby's International Realty,CONDO,1913,94109,san-francisco-ca/1337-greenwich-st-san-francisco-ca-94109-110_421521791/for-sale/,Pending,PENDING,2021-03-17 14:11:22,2021-02-22 00:00:00,1600000,CA,San Francisco,94109,1337 Greenwich St
1665,46,2021-03-04 00:00:00,Eileen Mougeot,1499000,10104,1270,421525120,2,2,Corcoran Global Living,CONDO,1931,94109,san-francisco-ca/1870-jackson-st-201-san-francisco-ca-94109-110_394624/for-sale/,Active Under Contract,PENDING,2021-03-17 07:36:10,2021-03-04 00:00:00,1499000,CA,San Francisco,94109,1870 Jackson St #201
1666,47,2021-03-16 00:00:00,Massimo Loporto,1365000,0,1038,421529039,2,2,Vanguard Properties,CONDO,2020,94110,san-francisco-ca/3620-cesar-chavez-st-apt-604-san-francisco-ca-94110-110_421529039/for-sale/,Pending,PENDING,2021-03-17 01:21:18,2021-03-16 00:00:00,1365000,CA,San Francisco,94110,3620 Cesar Chavez St #604
1667,47,2021-03-16 00:00:00,Eric Johnson,1150000,0,1037,421529012,2,2,Sotheby's International Realty,CONDO,2005,94105,san-francisco-ca/501-beale-st-10g-san-francisco-ca-94105/pid_tozyoad48g/for-sale/,Active Under Contract,PENDING,2021-03-17 00:01:23,2021-03-16 00:00:00,1150000,CA,San Francisco,94105,501 Beale St #10G
1668,47,2021-03-16 00:00:00,Derec Lacio,4625000,0,2064,511799,3,3,"Related CA Residential Sales, Inc.",CONDO,2019,94105,san-francisco-ca/488-folsom-apt-4702-san-francisco-ca-94105-110_496994/for-sale/,Pending,PENDING,2021-03-16 22:51:32,2021-03-16 00:00:00,4625000,CA,San Francisco,94105,488 Folsom #4702
1669,47,2021-03-16 00:00:00,Derec Lacio,2885000,0,1652,421528952,3,2,"Related CA Residential Sales, Inc.",CONDO,2019,94105,san-francisco-ca/488-folsom-apt-4005-san-francisco-ca-94105-110_421528952/for-sale/,Pending,PENDING,2021-03-16 22:31:33,2021-03-16 00:00:00,2885000,CA,San Francisco,94105,488 Folsom #4005
